path,type,parent_directory,size
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8,24819
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8,6968
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex1.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,3284
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex3_seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,749
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex4_seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,1813
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex5_seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,866
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex6_seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,840
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\ex7_seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,599
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__init__.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,458
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package,16210
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex1.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,5161
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex3_seminar.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,1762
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex4_seminar.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,3409
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex5_seminar.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,2012
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex6_seminar.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,1859
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\ex7_seminar.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,1279
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__\__init__.cpython-311.pyc,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\my_package\__pycache__,728
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_1,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,259
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,1327
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_4_Seminar,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,3034
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_5_Seminar,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,1101
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_6_Seminar,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,983
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_7_Seminar,directory,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks,264
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_1\Task_1.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_1,259
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar\Task_3_Seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar,280
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar\Task_3_seminar_8.csv,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar,274
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar\Task_3_seminar_8.json,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_3_Seminar,773
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_4_Seminar\Task_4_Seminar.py,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_4_Seminar,294
C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_4_Seminar\Task_4_seminar_8.csv,file,C:\GeekBrains\Тестирование GB\8. Погружение в Python\ДЗ\Homework\Homework_8\Tasks\Task_4_Seminar,689
