path,type,parent_directory,size
my_package,directory,,24819
Tasks,directory,,39024
my_package\ex1.py,file,my_package,3284
my_package\ex3_seminar.py,file,my_package,749
my_package\ex4_seminar.py,file,my_package,1813
my_package\ex5_seminar.py,file,my_package,866
my_package\ex6_seminar.py,file,my_package,840
my_package\ex7_seminar.py,file,my_package,599
my_package\__init__.py,file,my_package,458
my_package\__pycache__,directory,my_package,16210
my_package\__pycache__\ex1.cpython-311.pyc,file,my_package\__pycache__,5161
my_package\__pycache__\ex3_seminar.cpython-311.pyc,file,my_package\__pycache__,1762
my_package\__pycache__\ex4_seminar.cpython-311.pyc,file,my_package\__pycache__,3409
my_package\__pycache__\ex5_seminar.cpython-311.pyc,file,my_package\__pycache__,2012
my_package\__pycache__\ex6_seminar.cpython-311.pyc,file,my_package\__pycache__,1859
my_package\__pycache__\ex7_seminar.cpython-311.pyc,file,my_package\__pycache__,1279
my_package\__pycache__\__init__.cpython-311.pyc,file,my_package\__pycache__,728
Tasks\Task_1,directory,Tasks,32327
Tasks\Task_3_Seminar,directory,Tasks,1327
Tasks\Task_4_Seminar,directory,Tasks,3028
Tasks\Task_5_Seminar,directory,Tasks,1098
Tasks\Task_6_Seminar,directory,Tasks,980
Tasks\Task_7_Seminar,directory,Tasks,264
Tasks\Task_1\HW8_1.csv,file,Tasks\Task_1,9194
Tasks\Task_1\HW8_1.json,file,Tasks\Task_1,13328
Tasks\Task_1\HW8_1.pickle,file,Tasks\Task_1,9546
Tasks\Task_1\Task_1.py,file,Tasks\Task_1,259
Tasks\Task_3_Seminar\Task_3_Seminar.py,file,Tasks\Task_3_Seminar,280
Tasks\Task_3_Seminar\Task_3_seminar_8.csv,file,Tasks\Task_3_Seminar,274
Tasks\Task_3_Seminar\Task_3_seminar_8.json,file,Tasks\Task_3_Seminar,773
Tasks\Task_4_Seminar\Task_4_Seminar.py,file,Tasks\Task_4_Seminar,294
Tasks\Task_4_Seminar\Task_4_seminar_8.csv,file,Tasks\Task_4_Seminar,686
Tasks\Task_4_Seminar\Task_4_seminar_8.json,file,Tasks\Task_4_Seminar,2048
Tasks\Task_5_Seminar\Task_5_Seminar.py,file,Tasks\Task_5_Seminar,208
Tasks\Task_5_Seminar\Task_5_seminar_8.pickle,file,Tasks\Task_5_Seminar,890
Tasks\Task_6_Seminar\Task_6_Seminar.py,file,Tasks\Task_6_Seminar,294
Tasks\Task_6_Seminar\Task_6_Seminar_8.csv,file,Tasks\Task_6_Seminar,686
Tasks\Task_7_Seminar\Task_7_Seminar.py,file,Tasks\Task_7_Seminar,264
